name,base_name,variant,category,scale,filename,prompt
Neck Plate,Neck Plate,,Plate Armor,small,neck_plate,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 15% of the image area, large empty margin around object, object appears small within the frame, small steel neck plate, compact gorget-style collar, solid articulated metal throat and neck protection"
Gauntlets,Gauntlets,,Plate Armor,medium,gauntlets,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 30% of the image area, clear margin around object, steel gauntlets, articulated plate hand armor, sturdy segmented finger and wrist protection, heavy medieval fighting gloves"
Gloves,Gloves,,Leather Armor,medium,gloves,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 30% of the image area, clear margin around object, simple leather adventurer's gloves, fitted soft hand protection, worn but durable light gripwear"
Belt,Belt,,Accessory,small,belt,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 15% of the image area, large empty margin around object, object appears small within the frame, simple worn leather belt, plain metal buckle, practical adventurer's utility belt"
Mon Potion,Potion Flask,Mon,Potion,small,mon_potion,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 15% of the image area, large empty margin around object, object appears small within the frame, small glass potion flask, faint pale white glow, weak magical liquid, cork stopper, minor spell power enhancement, medieval fantasy alchemy item"
Um Potion,Potion Flask,Um,Potion,small,um_potion,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 15% of the image area, large empty margin around object, object appears small within the frame, small glass potion flask, soft warm silver glow, moderate magical liquid, cork stopper, moderate spell power enhancement, medieval fantasy alchemy item"
Dee Potion,Potion Flask,Dee,Potion,small,dee_potion,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 15% of the image area, large empty margin around object, object appears small within the frame, small glass potion flask, bright golden-white inner glow, potent magical liquid, cork stopper, strong spell power enhancement, medieval fantasy alchemy item"
Zo Potion,Potion Flask,Zo,Potion,small,zo_potion,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 15% of the image area, large empty margin around object, object appears small within the frame, small glass potion flask, vivid swirling arcane glow, highly potent magical liquid, cork stopper, powerful spell enhancement, medieval fantasy alchemy item"
Ful Potion,Potion Flask,Ful,Potion,small,ful_potion,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 15% of the image area, large empty margin around object, object appears small within the frame, small glass potion flask, intense radiant full-power magical glow, supreme potency liquid, cork stopper, ultimate spell power enhancement, medieval fantasy alchemy item"
Anti-Fire Potion,Potion Flask,Anti-Fire,Potion,small,anti_fire_potion,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 15% of the image area, large empty margin around object, object appears small within the frame, small glass potion flask, cool blue-silver liquid with icy frosted shimmer, cork stopper, fire resistance magical feel, medieval fantasy alchemy item"
Water,Water,,Consumable,small,water,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 15% of the image area, large empty margin around object, object appears small within the frame, small clear glass vial filled with pure water, simple transparent liquid, refreshing natural element, minimal and clean presentation"
